Year	Cause	Count
2007	Recreation and ceremony	3739
2007	Missing data/not specified/undetermined	17505
2007	Equipment and vehicle use	7601
2007	Power generation/transmission/distribution	1051
2007	Misuse of fire by a minor	2762
2007	Fireworks	950
2007	Railroad operations and maintenance	941
2007	Firearms and explosives use	159
2007	Smoking	2346
2008	Arson/incendiarism	9655
2008	Debris and open burning	19946
2008	Other causes	310
2008	Recreation and ceremony	3510
2008	Missing data/not specified/undetermined	20680
2008	Equipment and vehicle use	7820
2008	Power generation/transmission/distribution	856
2008	Misuse of fire by a minor	2365
2008	Fireworks	575
2008	Railroad operations and maintenance	804
2008	Firearms and explosives use	59
2008	Smoking	2113
2009	Arson/incendiarism	9177
2009	Debris and open burning	19138
2009	Other causes	347
2009	Recreation and ceremony	3423
2009	Missing data/not specified/undetermined	16323
2009	Equipment and vehicle use	6539
2009	Power generation/transmission/distribution	1625
2009	Misuse of fire by a minor	2035
2009	Fireworks	723
2009	Railroad operations and maintenance	1377
2009	Firearms and explosives use	112
2009	Smoking	1871
2010	Arson/incendiarism	10356
2010	Debris and open burning	20740
2010	Other causes	470
2010	Recreation and ceremony	3769
2010	Missing data/not specified/undetermined	17395
2010	Equipment and vehicle use	6219
2010	Power generation/transmission/distribution	1875
2010	Misuse of fire by a minor	2016
2010	Fireworks	742
2010	Railroad operations and maintenance	721
2010	Firearms and explosives use	245
2010	Smoking	2089
2011	Arson/incendiarism	9609
2011	Debris and open burning	22180
2011	Other causes	416
2011	Recreation and ceremony	3148
2011	Missing data/not specified/undetermined	17978
2011	Equipment and vehicle use	7581
2011	Power generation/transmission/distribution	3182
2011	Misuse of fire by a minor	2225
2011	Fireworks	592
2011	Railroad operations and maintenance	720
2011	Firearms and explosives use	344
2011	Smoking	2132
2012	Arson/incendiarism	9210
2012	Debris and open burning	17145
2012	Other causes	554
2012	Recreation and ceremony	3558
2012	Missing data/not specified/undetermined	15721
2012	Equipment and vehicle use	5713
2012	Power generation/transmission/distribution	1156
2012	Misuse of fire by a minor	1923
2012	Fireworks	971
2012	Railroad operations and maintenance	625
2012	Firearms and explosives use	209
2012	Smoking	1649
2013	Arson/incendiarism	6317
2013	Debris and open burning	17143
2013	Other causes	461
2013	Recreation and ceremony	2998
2013	Missing data/not specified/undetermined	14117
2013	Equipment and vehicle use	4693
2013	Power generation/transmission/distribution	1172
2013	Misuse of fire by a minor	1373
2013	Fireworks	783
2013	Railroad operations and maintenance	432
2013	Firearms and explosives use	90
2013	Smoking	1395
2014	Arson/incendiarism	6618
2014	Debris and open burning	20348
2014	Other causes	492
2014	Recreation and ceremony	4066
2014	Missing data/not specified/undetermined	16548
2014	Equipment and vehicle use	4980
2014	Power generation/transmission/distribution	1767
2014	Misuse of fire by a minor	1342
2014	Fireworks	659
2014	Railroad operations and maintenance	551
2014	Firearms and explosives use	75
2014	Smoking	1398
2015	Arson/incendiarism	6383
2015	Debris and open burning	18895
2015	Other causes	542
2015	Recreation and ceremony	3994
2015	Missing data/not specified/undetermined	19377
2015	Equipment and vehicle use	5958
2015	Power generation/transmission/distribution	2098
2015	Misuse of fire by a minor	1332
2015	Fireworks	680
2015	Railroad operations and maintenance	386
2015	Firearms and explosives use	76
2015	Smoking	2118
2016	Arson/incendiarism	9855
2016	Debris and open burning	22254
2016	Other causes	663
2016	Recreation and ceremony	4357
2016	Missing data/not specified/undetermined	18940
2016	Equipment and vehicle use	6593
2016	Power generation/transmission/distribution	2360
2016	Misuse of fire by a minor	1873
2016	Fireworks	858
2016	Railroad operations and maintenance	518
2016	Firearms and explosives use	78
2016	Smoking	2429
2017	Arson/incendiarism	7470
2017	Debris and open burning	21482
2017	Other causes	461
2017	Recreation and ceremony	2995
2017	Missing data/not specified/undetermined	19069
2017	Equipment and vehicle use	7407
2017	Power generation/transmission/distribution	2351
2017	Misuse of fire by a minor	1273
2017	Fireworks	1065
2017	Railroad operations and maintenance	525
2017	Firearms and explosives use	90
2017	Smoking	1726
2018	Arson/incendiarism	6019
2018	Debris and open burning	18674
2018	Other causes	453
2018	Recreation and ceremony	2978
2018	Missing data/not specified/undetermined	24465
2018	Equipment and vehicle use	7383
2018	Power generation/transmission/distribution	2301
2018	Misuse of fire by a minor	925
2018	Fireworks	730
2018	Railroad operations and maintenance	497
2018	Firearms and explosives use	299
2018	Smoking	1694
2019	Arson/incendiarism	5601
2019	Debris and open burning	14365
2019	Other causes	372
2019	Recreation and ceremony	2398
2019	Missing data/not specified/undetermined	13072
2019	Equipment and vehicle use	6117
2019	Power generation/transmission/distribution	1953
2019	Misuse of fire by a minor	752
2019	Fireworks	475
2019	Railroad operations and maintenance	368
2019	Firearms and explosives use	151
2019	Smoking	821
2020	Arson/incendiarism	4894
2020	Debris and open burning	14267
2020	Other causes	382
2020	Recreation and ceremony	4350
2020	Missing data/not specified/undetermined	17970
2020	Equipment and vehicle use	8380
2020	Power generation/transmission/distribution	2208
2020	Misuse of fire by a minor	898
2020	Fireworks	919
2020	Railroad operations and maintenance	487
2020	Firearms and explosives use	378
2020	Smoking	1273
